Martone2017_Model1,AS,AE,AC,LS,LE,LC,FS,ME,MC,NE,NC,MI,NI,JO
AS,-1,-1,1,1,0,0,1,0,0,0,0,0,0,0
AE,-1,-1,1,0,-1,0,0,-1,0,0,0,0,0,0
AC,0,0,-1,0,0,0,0,0,0,0,0,1,0,0
LS,-1,0,0,-1,-1,1,1,0,0,0,0,0,0,0
LE,0,0,0,-1,-1,1,0,-1,0,0,0,0,0,0
LC,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
FS,-1,0,0,-1,0,0,-1,0,1,0,1,0,0,0
ME,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0
MC,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0
NE,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0
NC,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0
MI,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,1
NI,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1
JO,0,0,0,0,0,0,0,0,0,0,0,0,1,-1